time,x,y,z
1.9999999999999998,-2557257.44027321,6248280.915325101,-1276738.3052758856
3.9999999999999996,-2558346.8684346485,6250875.486698235,-1261767.33253561
6.0,-2559423.7071378133,6253439.298778406,-1246790.1337323769
7.999999999999999,-2560487.951014098,6255972.338780085,-1231806.7827334115
10.0,-2561539.5947573604,6258474.594070351,-1216817.35343735
12.0,-2562578.6331239543,6260946.052168959,-1201821.9197738646
14.0,-2563605.0609327555,6263386.700748411,-1186820.555703293
15.999999999999998,-2564618.873065192,6265796.527634017,-1171813.335216265
18.0,-2565620.0644652694,6268175.520803967,-1156800.3323333282
20.0,-2566608.630139601,6270523.668389389,-1141781.6211045773
22.0,-2567584.5651574326,6272840.958674423,-1126757.2756092795
24.0,-2568547.8646506704,6275127.380096278,-1111727.3699555008
25.999999999999996,-2569498.5238139075,6277382.921245294,-1096691.978279733
28.0,-2570436.5379044497,6279607.570865008,-1081651.1747465206
30.000000000000004,-2571361.9022423415,6281801.317852214,-1066605.0335480846
31.999999999999996,-2572274.612210392,6283964.151257021,-1051553.6289039508
34.0,-2573174.6632541986,6286096.06028292,-1036497.0350605744
36.0,-2574062.0508821732,6288197.034286831,-1021435.3262909655
38.0,-2574936.770665566,6290267.062779171,-1006368.576894315
40.0,-2575798.8182384903,6292306.13542391,-991296.861195619
42.0,-2576648.1892979466,6294314.2420386225,-976220.2535453049
44.0,-2577484.879603844,6296291.3725945465,-961138.8283188555
46.0,-2578308.884979027,6298237.51721664,-946052.659916434
48.0,-2579120.201309295,6300152.66618363,-930961.8227625089
50.0,-2579918.8245434263,6302036.809928072,-915866.3913054779
51.99999999999999,-2580704.7506931997,6303889.939036397,-900766.4400172929
54.00000000000001,-2581477.9758334183,6305712.044248969,-885662.043393083
56.0,-2582238.496101929,6307503.11646013,-870553.27595078
58.00000000000001,-2582986.3076996435,6309263.1467182515,-855440.2122307413
60.00000000000001,-2583721.4068905613,6310992.126225788,-840322.9267953736
62.00000000000001,-2584443.7900017886,6312690.046339321,-825201.4942287566
63.99999999999999,-2585153.4534235587,6314356.898569608,-810075.9891362671
66.0,-2585850.3936092523,6315992.674581629,-794946.4861442009
68.0,-2586534.607075417,6317597.366194635,-779813.0598993973
